Tweet_ID,Content,Date_Post
dante_02_1338863069745690112,"Encaminhamos também pedido de audiência com o ministro Lewandowski para debater o plano apresentado. Exigimos um plano robusto de vacinação, com prioridade para os grupos de risco e detalhamento logístico de abrangência nacional, além de prazos e datas bem definidas.",2020-12-15
dante_02_1338862868473629952,"Nossa bancada apresentou convocação p/ que Pazuello explique o plano de imunização entregue ao STF. É gravíssimo que, diante de mais de 180 mil mortes por covid-19, a providência do governo federal seja fraudar assinaturas para legitimar um planejamento repleto de lacunas.",2020-12-15
dante_02_1339322354535689984,"O PSOL tentou garantir na votação da LDO a obrigação de que haja, em 2021, mais recursos para a compra e produção de vacinas, mas a base do governo na Câmara votou contra. Bolsonaro faz, portanto, apenas o que Paulo Guedes manda. Ambos negam a pandemia e priorizam os rentistas.",2020-12-16
dante_02_1339321637519429888,Ministério da Saúde:\n\n-divulgou plano de vacinação sem avisar especialistas que colaboraram\n\n-politizou a compra de vacinas influenciado por disputais eleitorais\n\n-ignora há 6 meses processo de importação de seringas.\n\nO Brasil segue refém da incompetência desse desgoverno.,2020-12-16
dante_02_1339295579529210112,"Nossa bancada do @psolnacamara apresentou um requerimento para a criação de uma Comissão Externa p/acompanhar os atos do governo Bolsonaro no planejamento, monitoramento e execução do plano de vacinação contra a covid-19. Precisamos garantir à população o direito à vacina!",2020-12-16
dante_02_1339251362584989952,"Bolsonaro quer usar máquina pública para desencorajar a vacinação. Não há limites para negacionismo e a irresponsabilidade. Enquanto isso, a população está em risco, sem nenhuma garantia de quando vamos conseguir sair da pandemia.\n\nhttps://t.co/07eOiXcLdB",2020-12-16
dante_02_1339744690900480000,"Estudo da PUC-RS e do Observatório das Metrópoles comprova: sem o auxílio emergencial, a pobreza teria crescido no Brasil. A pandemia está longe de terminar e o presidente segue dificultando a imunização do povo. O que vcs acham que vai acontecer quando o benefício for encerrado?",2020-12-17
dante_02_1339635983629819904,Bolsonaro ameaça a imunidade do país inteiro ao não apoiar uma vacina contra a covid-19. Exigências sem cabimento e críticas infundadas com relação aos medicamentos fazem parte da estratégia absurda p/desinformar a população. O governo segue implementando sua política da morte!,2020-12-17
dante_02_1339609799684730112,"Enquanto a vacina não chega e a pandemia segue, precisamos proteger a população. Cadê os boletins atualizados? E os dados sobre testes por raça, gênero e etnia? O @minsaude continua sem explicar a falta de transparência nos dados da COVID #MaisTransparênciapazuello #FalaPazuello",2020-12-17
dante_02_1340085626369159936,"Voltamos a superar a terrível marca de mil mortes/dia pela covid-19 no Brasil. Enquanto não houver vacinação em massa, precisaremos seguir c/ as medidas de proteção. Nunca é demais reforçar: distanciamento social e uso de máscaras são os cuidados + eficazes contra o coronavírus!",2020-12-18
dante_02_1341090052655419904,"Depois da FDA (EUA), a EMA (União Europeia) também autorizou o uso da vacina da Pfizer. Em fevereiro, nós aprovamos uma lei que determinava a liberação em até 72h pela Anvisa de qualquer vacina certificada por uma dessas agências internacionais. É preciso acelerar esse processo.",2020-12-21
dante_02_1341474050611300096,"Quando nomeou Pazuello, o presidente disse que ele entendia de logística. Deu no que deu. Agora, descobrimos que um profissional do serviço de inteligência está cuidando das vacinas. Mas enquanto outros países já começam suas campanhas, no BR nem as seringas estão garantidas! https://t.co/UTdIdIlkFm",2020-12-22
dante_02_1342869758878820096,Papa defende que países compartilhem vacinas contra covid-19\n https://t.co/E6Zj3N4Xbm,2020-12-26
dante_02_1343551681250909952,Mais de 30 países iniciaram vacinação contra covid-19. Mais alguém (além do presidente) não dá bola pra isso??,2020-12-28
dante_02_1344636426990830080,"Adeus, 2020! Se saia! Vamos na fé mergulhar no novo ciclo, pedindo luz e proteção e fazendo a nossa parte com dedicação, honestidade e amor. Que Deus tenha misericórdia do Brasil e que a vacina venha logo. Pode chegar, 2021! https://t.co/9LDNlb1Brb",2020-12-31
dante_02_1337417561365939968,RESPEITO À LIBERDADE DOS MINEIROS. Emenda de minha autoria juntamente com o deputado Sargento Rodrigues garante que a vacinação realizada pelo Estado de Minas Gerais será FACULTATIVA. #BolsonaroTemRazao #FechadoComBolsonaro #Covid https://t.co/6KAF1XCzZf,2020-12-11
dante_02_1340679011098370048,"Protocolei o PL 2320/2020 que estabelece a vacinação facultativa em Minas Gerais, ele deve ser votado em fevereiro do ano que vem. #Dia22VaiSerGigante https://t.co/WHfCzMMnKN",2020-12-20
dante_02_1263126584380270080,"Participe hoje (20), às 14h, da Reunião Especial da @almg com representantes da @FIOCRUZ, @UFMG, @FIEMGoficial e @IFSuldeMinas. Vamos obter informações sobre os estudos relacionados a pandemia do #Covid_19, seu desenvolvimento e impactos. https://t.co/6F6d2NbEQh",2020-05-20
dante_02_1270719373133519872,"É importante se prevenir do coronavírus, mas não deixe de se precaver de outras doenças tão sérias quanto esta. Desde março, a vacina ACWY está disponível em toda rede pública da capital, mas sua procura é baixa. Não podemos relaxar com outras doenças.\n\nhttps://t.co/VFyGm4FB0w",2020-06-10
dante_02_1280241158766109952,"A UFMG está liderando os testes da vacina contra a Covid-19 e precisará de voluntários. Se você estiver interessado, as inscrições começam dia 13, por meio de um app que será lançado nesta semana!\n\n#coronavírus\n#vacina\n#UFMG\n\nhttps://t.co/aVV3IyQnmr",2020-07-06
